Cartesian
Radius  Average   Standard Deviation   Variance
11        1125.28        1.82276        3.32246
12        1093.88        2.06021        4.24448
13        1100.83        8.11039        65.7784
14        1092.96        2.05762        4.23379
15         1096.3        2.40374        5.77795
16        1101.25        1.73211        3.00021
17        1117.64        3.55285        12.6228
18         1103.8        1.74655        3.05044
19        1103.24        7.77836         60.503
20         1127.4        2.10709        4.43981
21        1124.78        1.48706        2.21135
22        1095.92        2.81843        7.94356
23        1102.46        2.30739        5.32403
24         1103.9        3.00868        9.05213
25        1095.03        3.04266         9.2578
26        1093.73        2.03333        4.13442
27        1105.53        2.66211        7.08681
28        1101.98        20.3112        412.546
29        1097.79        20.0201        400.803
30        1103.71        20.9989        440.956
31        1111.41        30.5491        933.246
32        1095.85        2.69394        7.25729
33        1103.64        2.88136        8.30224
34        1109.03        2.15044        4.62441
35        1098.84        2.78277         7.7438
36        1092.15        3.76012        14.1385
37        1105.13        2.72508        7.42608
38        1112.47         2.5163        6.33176
39        1097.26        2.67422        7.15143
40        1101.38        2.36083        5.57351
41        1116.26        2.31627        5.36509
42        1118.97        2.15241        4.63285
43        1123.65        1.40336        1.96942
44        1099.34        1.91909        3.68291
45        1111.75        8.06912        65.1107
46        1109.99         1.4239        2.02748
47        1132.01        1.16338        1.35346
48        1105.05        2.65923        7.07148
49        1110.64         3.9108        15.2944
50        1102.42        1.79019        3.20479
51        1117.13        12.7641        162.922
52        1094.11        2.17955        4.75043
53        1095.62         5.6129        31.5047
54        1104.68        12.0125        144.301
55        1131.63        2.07602        4.30985
56        1115.29        1.44619        2.09147
57        1115.46        2.71001        7.34416
58        1123.57        1.56378        2.44542
59         1112.1        3.75605        14.1079
60        1102.72        5.38743        29.0244
61        1128.47        1.67994         2.8222
62           1113        1.45547        2.11839
63        1112.56         7.8984        62.3847
64        1105.43        1.69493        2.87279
65        1110.18        2.31968         5.3809
66        1125.13        1.54605        2.39026
67        1126.58         2.2122        4.89383
68        1103.59        1.84815        3.41566
69        1122.04        2.10213        4.41893
70        1106.84        1.93486         3.7437
